Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,APRS,144.390000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
1,KARS2M,147.200000,+,0.600000,Tone,141.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
2,KARS440,442.350000,+,5.000000,Tone,131.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
11,W5TAA,145.562500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,DN,12.50,,50W,"W5TAA near San Marcos, Hays County, Texas OPEN",,,,
12,KC5GPG,147.500000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"KC5GPG near Seguin, Guadalupe County, Texas OPEN",,,,
13,WA5AP,145.490000,-,0.600000,TSQL,88.5,141.3,023,NN,023,Tone->Tone,FM,5.00,,50W,"WA5AP near Seguin, Guadalupe County, Texas OPEN",,,,
14,WA5GC,146.760000,-,0.600000,TSQL,88.5,141.3,023,NN,023,Tone->Tone,FM,5.00,,50W,"WA5GC near Seguin, Guadalupe County, Texas OPEN",,,,
15,WA5AP,442.225000,+,5.000000,Tone,141.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"WA5AP near Seguin, Guadalupe County, Texas OPEN",,,,
16,W5WD,444.400000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"W5WD near Seguin, Guadalupe County, Texas OPEN",,,,
17,W5DK,443.500000,+,5.000000,TSQL,88.5,141.3,023,NN,023,Tone->Tone,FM,5.00,,50W,"W5DK near New Braunfels, Comal County, Texas OPEN",,,,
18,W5DOC,145.200000,-,0.600000,Tone,114.8,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"W5DOC near Seguin, Guadalupe County, Texas OPEN Advisory Note:  According to the TXVHFFM Society, the use of even-numbered channels in the 145 MHz sub-band was never formally voted on or approved. In addition, similar odd-channel repeater pairings in the 146–148 MHz range are inconsistent with the established coordination standards, which have remained unchanged since the 1990s.  These standards are based on 5 kHz FM deviation spacing, and deviations from them can result in spectral overlap and interference concerns.  This listing reflects a repeater configuration with a 145.200 MHz output and a 144.600 MHz input, which falls outside the historically coordinated channel structure for this band.  Information is provided for advisory and informational purposes only.",,,,
19,WB5LVI,147.000000,-,0.600000,TSQL,88.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"WB5LVI near New Braunfels, Comal County, Texas OPEN",,,,
20,WB5LVI,147.220000,+,0.600000,TSQL,88.5,103.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"WB5LVI near New Braunfels, Comal County, Texas OPEN",,,,
21,WB5LVI,443.850000,+,5.000000,TSQL,88.5,103.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"WB5LVI near New Braunfels, Comal County, Texas OPEN",,,,
22,DvlsBkbn,146.920000,-,0.600000,TSQL,88.5,131.8,023,NN,023,Tone->Tone,FM,5.00,,50W,"W5DK near San Marcos, Hays County, Texas OPEN",,,,
23,AE5BA,443.525000,+,5.000000,Tone,114.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"AE5BA near San Marcos, Hays County, Texas OPEN",,,,
24,AI5TX,443.650000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"AI5TX near San Marcos, Hays County, Texas CLOSED",,,,
25,TXStateU,442.700000,+,5.000000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"KG5PVG near San Marcos, Hays County, Texas OPEN",,,,
26,WD5EMS,145.300000,-,0.600000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,DN,5.00,,50W,"WD5EMS near Canyon Lake, Comal County, Texas OPEN",,,,
27,NH7TR,146.720000,-,0.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"NH7TR near Cibolo, Guadalupe County, Texas OPEN",,,,
28,KE5LOT,147.050000,+,0.600000,TSQL,88.5,114.8,023,NN,023,Tone->Tone,DN,5.00,,50W,"KE5LOT near Kyle, Hays County, Texas OPEN",,,,
29,WA5AP,145.230000,-,0.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"WA5AP near Luling, Guadalupe County, Texas OPEN",,,,
30,W5ERX,444.450000,+,5.000000,TSQL,88.5,114.8,023,NN,023,Tone->Tone,FM,5.00,,50W,"W5ERX near Canyon Lake, Comal County, Texas OPEN",,,,
31,WA5AP,442.550000,+,5.000000,Tone,141.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"WA5AP near Wimberley, Hays County, Texas OPEN",,,,
32,RetamaPk,146.980000,-,0.600000,TSQL,88.5,136.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"N5ZR near Selma, Bexar County, Texas OPEN",,,,
33,W5TFD,147.440000,,0.000000,DTCS,88.5,88.5,664,NN,023,Tone->Tone,FM,5.00,,50W,"W5TFD near Universal City, Bexar County, Texas OPEN",,,,
34,W5NZK,441.812500,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DN,12.50,,50W,"W5NZK near Live Oak, Bexar County, Texas OPEN YSF Reflector US SADRC ID:84398 Wries-X Room SADRC 40324",,,,
35,WA5FSR,444.075000,+,5.000000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"WA5FSR near Saint Hedwig, Bexar County, Texas OPEN",,,,
36,WA5FSR,444.075000,+,5.000000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"WA5FSR near Saint Hedwig, Bexar County, Texas OPEN",,,,
37,K5NKK,444.025000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"K5NKK near Live Oak, Bexar County, Texas OPEN",,,,
50,BAZ-ATIS,119.325000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,,,,,
51,BAZ-GND,120.175000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,,,,,
52,BAZ-TWR,127.050000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,,,,,
53,BAZ-UNI,122.700000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
54,HYI-ATIS,120.825000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,,,,,
55,HYI-GND,120.125000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,,,,,
56,HYI-TWR,126.825000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,,,,,
57,HOU-ATIS,124.600000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,,,,,
58,HOU-GND,121.900000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,,,,,
59,HOU-TWR,121.900000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,,,,,
60,HOU-UNI,122.950000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,,,,,
61,IAH-ATIS,124.050000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
62,KIAH GND,118.575000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
63,KIAH GND,119.950000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
64,KIAH GND,121.700000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
65,KIAHTWR1,125.350000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
66,KIAHTWR2,127.300000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
67,KIAHTWR3,135.150000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
68,KIAHTWR4,120.725000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
75,AUSTIN,442.150000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,Austin Travis Co - KA5C - I-35 (C4FM only),,,,
76,AUSTIN-S,441.500000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,Austin South Travis Co - KN5C - I-35 (C4FM only),,,,
77,BLANCO,440.275000,+,5.000000,Tone,114.8,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,Blanco Co - SADRC - US 281,,,,
78,BOERNE,444.900000,+,5.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,Boerne Kendall Co - KARS - I-10,,,,
79,BRWNSVLE,444.375000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,Brownsville Cameron Co - KC5MAH - Hwy 4/I-69E (C4FM only),,,,
80,WACO,440.625000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,Bruceville-Eddie/Waco McLennan Co - DARN - I-35 (DGID 01),,,,
81,CC-146,146.880000,-,0.600000,Tone,107.2,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,Corpus Christi Nueces Co - STARC - I-37,,,,
82,CC-442,442.575000,+,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,Corpus Christi Nueces Co - SADRC - Park Rd 22/361,,,,
83,GEORGETN,444.250000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,Georgetown Williamson Co - W5AMG - I-35 (C4FM only),,,,
84,GERONIMO,442.225000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,Geronimo Guadalupe Co - K5UUT - I-10/TX 123 (C4FM only),,,,
85,HARLNGN,443.875000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,Harlingen Cameron Co - KD4FJ - 69E/R77 (C4FM/DMR),,,,
86,HONDO,443.350000,+,5.000000,Tone,141.3,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,Hondo Medina Co - MVARC - US 90,,,,
87,KRRVL147,147.040000,+,0.600000,Tone,114.8,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,Kerrville Kerr Co - SADRC - I-10,,,,
88,KRRVL444,444.475000,+,5.000000,Tone,114.8,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,Kerrville Kerr Co - SADRC - I-10,,,,
89,LIVE-OAK,444.025000,+,5.000000,Tone,114.8,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,Live Oak Bexar Co - K5NKK - I-35/1604,,,,
90,MCDADE,441.575000,+,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,McDade Bastrop Co - NU5DE - US 290,,,,
91,NRH,145.270000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,North Richland Hills Tarrant Co - SADRC - I-820 (C4FM only),,,,
92,PT-LAVCA,442.675000,+,5.000000,Tone,103.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,Port Lavaca Calhoun Co - PLARC - US 87/TX 35,,,,
93,RND-ROCK,147.160000,+,0.600000,Tone,114.8,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,Round Rock Williamson Co - SADRC - I-35,,,,
94,SA-N-147,147.160000,+,0.600000,Tone,114.8,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,San Antonio North Bexar Co - SADRC - US 281/I-35,,,,
95,SA-N-442,442.750000,+,5.000000,Tone,114.8,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,San Antonio North Bexar Co - SADRC - US 281/I-35,,,,
96,SA-MED,146.820000,-,0.600000,Tone,179.9,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,San Antonio Med Ctr Bexar Co - SARO - I-10/410/US 281,,,,
97,SA-SW,443.200000,+,5.000000,Tone,114.8,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,San Antonio Southwest Bexar Co - SADRC - I-35/I-10,,,,
98,SELMA,441.812500,+,5.000000,Tone,114.8,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,Selma Bexar Co - SADRC - I-35/TX 1518,,,,
99,VICTORIA,443.800000,+,5.000000,Tone,103.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,Victoria Co - VARC - US 59/77/87,,,,
100,W5LCR,444.750000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"W5LCR near Shiner, Lavaca County, Texas OPEN YSF Reflector US-CRHRC-TX #62426",,,,
101,KC5QLT,146.680000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"KC5QLT near Shiner, Lavaca County, Texas OPEN",,,,
102,W5DWT,146.640000,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"W5DWT near Cuero, Dewitt County, Texas OPEN",,,,
103,KC5GPG,147.500000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"KC5GPG near Seguin, Guadalupe County, Texas OPEN",,,,
104,W5DOC,145.200000,-,0.600000,Tone,114.8,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"W5DOC near Seguin, Guadalupe County, Texas OPEN Advisory Note:  According to the TXVHFFM Society, the use of even-numbered channels in the 145 MHz sub-band was never formally voted on or approved. In addition, similar odd-channel repeater pairings in the 146–148 MHz range are inconsistent with the established coordination standards, which have remained unchanged since the 1990s.  These standards are based on 5 kHz FM deviation spacing, and deviations from them can result in spectral overlap and interference concerns.  This listing reflects a repeater configuration with a 145.200 MHz output and a 144.600 MHz input, which falls outside the historically coordinated channel structure for this band.  Information is provided for advisory and informational purposes only.",,,,
105,K5OQ,145.350000,-,0.600000,TSQL,88.5,114.8,023,NN,023,Tone->Tone,DN,5.00,,50W,"K5OQ near Smithville, Bastrop County, Texas OPEN",,,,
106,W5TAA,145.562500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,DN,12.50,,50W,"W5TAA near San Marcos, Hays County, Texas OPEN",,,,
